nome.cartola,id
América-MG,327
Atlético-RN,200
Atlético-GO,373
Atlético-MG,282
Athletico-PR,293
Avaí,314
Bahia,265
Botafogo,263
Brasiliense,203
Chapecoense,315
Náutico,205
Corinthians,264
Coritiba,294
Criciuma,206
Cruzeiro,283
CSA,341
Figueirense,316
Flamengo,262
Fluminense,266
Fortaleza,356
Goiás,290
Grêmio,284
Grêmio Barueri,211
Grêmio Prudente,212
Guarani,213
Internacional,285
Ipatinga,214
Joinville,215
Juventude,216
Paysandu,218
Palmeiras,275
Paraná,217
Ponte Preta,303
Portuguesa,219
Santa Cruz,344
Santo André,220
Santos,277
São Caetano,221
São Paulo,276
Sport Recife,292
Vasco da Gama,267
EC Vitória,287
EC Vitória,Vitória
Vasco da Gama,Vasco
Athletico-PR,Atlético-PR
Ceará SC,Ceará
Sport Recife,Sport
Athletico-PR,Athlético-PR
Ceará SC,354
Bragantino,280
Cuiabá,1371
Juventude,286
